name,group,year,value,lastValue,flag,color
AIR INDIA,AIR INDIA,2016,13734192,12742163,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2017,14755383,13734192,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2018,15497575,14755383,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1988,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1989,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1990,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1991,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1992,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1993,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1994,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1995,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1996,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1997,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1998,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,1999,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2000,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2001,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2002,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2003,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2004,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2005,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2006,0,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2007,1564799,0,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2008,2064325,1564799,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2009,2230282,2064325,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2010,2124035,2230282,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2011,2079857,2124035,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2012,1944351,2079857,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2013,2313553,1944351,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2014,2392160,2313553,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2015,2634791,2392160,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2016,3309882,2634791,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2017,3758856,3309882,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
AIR INDIA EXPRESS,AIR INDIA EXPRESS,2018,4229923,3758856,https://wearedesignteam.com/hd-wallpaper/images/air-india-airlines-png.png,#FF4500
JET AIRWAYS,JET AIRWAYS,1988,0,0,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1989,0,0,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1990,0,0,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1991,0,0,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1992,0,0,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1993,0,0,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1994,0,0,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1995,1606976,0,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1996,2369839,1606976,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1997,3128577,2369839,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1998,4029908,3128577,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,1999,4868104,4029908,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2000,5924950,4868104,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2001,5819714,5924950,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2002,6401592,5819714,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2003,6897888,6401592,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2004,8014531,6897888,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2005,9103568,8014531,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2006,9914573,9103568,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2007,9771046,9914573,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2008,7923182,9771046,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2009,8254769,7923182,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2010,10026672,8254769,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2011,11829459,10026672,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2012,11352316,11829459,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2013,11403081,11352316,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2014,12473808,11403081,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2015,15961308,12473808,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2016,16276098,15961308,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2017,18550776,16276098,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET AIRWAYS,JET AIRWAYS,2018,19029065,18550776,https://www.flyings.guru/images/airlines/JAI_A332.png,#B8860B
JET LITE,JET LITE,1988,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1989,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1990,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1991,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1992,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1993,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1994,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1995,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1996,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1997,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1998,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,1999,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2000,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2001,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2002,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2003,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2004,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2005,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2006,2922426,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2007,3122840,2922426,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2008,3174371,3122840,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2009,3386399,3174371,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2010,4151198,3386399,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2011,4684103,4151198,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2012,3830609,4684103,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2013,3307127,3830609,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2014,3030638,3307127,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2015,2439721,3030638,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2016,2751042,2439721,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2017,2763377,2751042,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
JET LITE,JET LITE,2018,2323026,2763377,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Jet_Lite_logo.svg/120px-Jet_Lite_logo.svg.png,#8B0000
AIR SAHARA,AIR SAHARA,1988,0,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1989,0,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1990,0,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1991,0,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1992,0,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1993,0,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1994,0,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1995,0,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1995,76987,0,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B22
AIR SAHARA,AIR SAHARA,1996,367464,76987,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B23
AIR SAHARA,AIR SAHARA,1997,605053,367464,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B24
AIR SAHARA,AIR SAHARA,1998,515514,605053,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B25
AIR SAHARA,AIR SAHARA,1999,639329,515514,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B26
AIR SAHARA,AIR SAHARA,2000,688321,639329,https://www.freepngimg.com/thumb/airplane/29428-7-airplane-transparent.png,#228B27
